"","GLMM_tree","Bart","BA","BaBart_N*1","BaBart_N*5","BaBart_N*10","Smearing_N*1_palt=0","Smearing_N*5_palt=0","Smearing_N*10_palt=0","Smearing_N*1_palt=0.25","Smearing_N*5_palt=0.25","Smearing_N*10_palt=0.25","Smearing_N*1_palt=0.5","Smearing_N*5_palt=0.5","Smearing_N*10_palt=0.5","BaBart_N*5_Nw","BaBart_N*10_Nw","Smearing_N*5_palt=0_Nw","Smearing_N*10_palt=0_Nw","Smearing_N*5_palt=0.25_Nw","Smearing_N*10_palt=0.25_Nw","Smearing_N*5_palt=0.5_Nw","Smearing_N*10_palt=0.5_Nw"
"87",5,NA,NA,26,25,25,48,52,52,59,56,50,49,56,51,NA,NA,NA,NA,NA,NA,NA,NA
"88",5,NA,NA,29,23,22,52,51,48,54,56,55,63,53,55,NA,NA,NA,NA,NA,NA,NA,NA
"89",4,NA,NA,23,13,13,41,50,42,58,53,55,60,50,59,NA,NA,NA,NA,NA,NA,NA,NA
"90",5,NA,NA,33,26,24,49,47,49,63,54,50,57,59,55,NA,NA,NA,NA,NA,NA,NA,NA
"91",6,NA,NA,25,24,23,49,55,52,56,58,57,57,55,60,NA,NA,NA,NA,NA,NA,NA,NA
"92",5,NA,NA,28,15,14,43,51,43,53,54,53,61,59,62,NA,NA,NA,NA,NA,NA,NA,NA
"93",4,NA,NA,25,11,11,53,54,46,55,51,50,62,54,57,NA,NA,NA,NA,NA,NA,NA,NA
"94",5,NA,NA,22,23,15,51,50,53,54,52,49,61,58,59,NA,NA,NA,NA,NA,NA,NA,NA
"95",4,NA,NA,24,13,13,52,42,45,49,56,48,58,59,58,NA,NA,NA,NA,NA,NA,NA,NA
"96",6,NA,NA,31,16,22,47,50,55,63,59,56,56,60,58,NA,NA,NA,NA,NA,NA,NA,NA
"97",5,NA,NA,26,25,25,48,52,52,59,56,50,49,56,51,NA,NA,NA,NA,NA,NA,NA,NA
"98",5,NA,NA,29,23,22,52,51,48,54,56,55,63,53,55,NA,NA,NA,NA,NA,NA,NA,NA
"99",4,NA,NA,23,13,13,41,50,42,58,53,55,60,50,59,NA,NA,NA,NA,NA,NA,NA,NA
"100",5,NA,NA,33,26,24,49,47,49,63,54,50,57,59,55,NA,NA,NA,NA,NA,NA,NA,NA
