"","GLMM_tree","Bart","BA","BaBart_N*1","BaBart_N*5","BaBart_N*10","Smearing_N*1_palt=0","Smearing_N*5_palt=0","Smearing_N*10_palt=0","Smearing_N*1_palt=0.25","Smearing_N*5_palt=0.25","Smearing_N*10_palt=0.25","Smearing_N*1_palt=0.5","Smearing_N*5_palt=0.5","Smearing_N*10_palt=0.5","BaBart_N*5_Nw","BaBart_N*10_Nw","Smearing_N*5_palt=0_Nw","Smearing_N*10_palt=0_Nw","Smearing_N*5_palt=0.25_Nw","Smearing_N*10_palt=0.25_Nw","Smearing_N*5_palt=0.5_Nw","Smearing_N*10_palt=0.5_Nw"
"91",11,NA,NA,21,10,9,39,13,14,27,23,20,28,15,20,NA,NA,NA,NA,NA,NA,NA,NA
"92",11,NA,NA,20,9,9,32,16,13,28,19,19,22,16,12,NA,NA,NA,NA,NA,NA,NA,NA
"93",10,NA,NA,21,14,9,40,18,14,25,23,21,22,22,18,NA,NA,NA,NA,NA,NA,NA,NA
"94",11,NA,NA,22,9,4,43,17,12,28,19,31,28,16,22,NA,NA,NA,NA,NA,NA,NA,NA
"95",12,NA,NA,19,9,9,37,19,19,26,17,23,29,26,17,NA,NA,NA,NA,NA,NA,NA,NA
"96",12,NA,NA,18,10,5,38,14,13,32,16,19,32,21,20,NA,NA,NA,NA,NA,NA,NA,NA
"97",10,NA,NA,23,11,5,40,17,12,27,16,19,24,19,23,NA,NA,NA,NA,NA,NA,NA,NA
"98",11,NA,NA,22,9,9,40,20,10,28,22,18,33,17,11,NA,NA,NA,NA,NA,NA,NA,NA
"99",10,NA,NA,18,9,4,36,16,14,29,17,22,35,20,16,NA,NA,NA,NA,NA,NA,NA,NA
"100",12,NA,NA,24,9,9,34,19,14,23,23,16,30,24,12,NA,NA,NA,NA,NA,NA,NA,NA
