"","GLMM_tree","Bart","BA","BaBart_N*1","BaBart_N*5","BaBart_N*10","Smearing_N*1_palt=0","Smearing_N*5_palt=0","Smearing_N*10_palt=0","Smearing_N*1_palt=0.25","Smearing_N*5_palt=0.25","Smearing_N*10_palt=0.25","Smearing_N*1_palt=0.5","Smearing_N*5_palt=0.5","Smearing_N*10_palt=0.5","BaBart_N*5_Nw","BaBart_N*10_Nw","Smearing_N*5_palt=0_Nw","Smearing_N*10_palt=0_Nw","Smearing_N*5_palt=0.25_Nw","Smearing_N*10_palt=0.25_Nw","Smearing_N*5_palt=0.5_Nw","Smearing_N*10_palt=0.5_Nw"
"70",3,NA,NA,8,54,0,6,1,0,27,9,2,25,10,4,NA,NA,NA,NA,NA,NA,NA,NA
"71",3,NA,NA,48,53,43,5,1,0,24,3,2,33,8,4,NA,NA,NA,NA,NA,NA,NA,NA
"72",3,NA,NA,5,54,0,6,1,0,26,1,2,30,10,7,NA,NA,NA,NA,NA,NA,NA,NA
"73",4,NA,NA,5,46,57,8,1,0,29,7,2,17,8,3,NA,NA,NA,NA,NA,NA,NA,NA
"74",4,NA,NA,5,48,45,5,0,0,22,6,2,29,14,5,NA,NA,NA,NA,NA,NA,NA,NA
"75",3,NA,NA,16,1,44,5,1,0,15,4,4,28,6,4,NA,NA,NA,NA,NA,NA,NA,NA
"76",2,NA,NA,9,49,47,9,1,0,26,7,2,26,9,4,NA,NA,NA,NA,NA,NA,NA,NA
"77",4,NA,NA,8,47,46,8,1,0,25,3,3,36,7,5,NA,NA,NA,NA,NA,NA,NA,NA
"78",4,NA,NA,29,48,0,5,0,0,26,5,3,28,7,5,NA,NA,NA,NA,NA,NA,NA,NA
"79",3,NA,NA,9,46,50,7,1,0,30,5,2,23,8,3,NA,NA,NA,NA,NA,NA,NA,NA
"80",3,NA,NA,8,54,0,6,1,0,27,9,2,25,10,4,NA,NA,NA,NA,NA,NA,NA,NA
"81",3,NA,NA,48,53,43,5,1,0,24,3,2,33,8,4,NA,NA,NA,NA,NA,NA,NA,NA
"82",3,NA,NA,5,54,0,6,1,0,26,1,2,30,10,7,NA,NA,NA,NA,NA,NA,NA,NA
"83",4,NA,NA,5,46,57,8,1,0,29,7,2,17,8,3,NA,NA,NA,NA,NA,NA,NA,NA
"84",4,NA,NA,5,48,45,5,0,0,22,6,2,29,14,5,NA,NA,NA,NA,NA,NA,NA,NA
"85",3,NA,NA,16,1,44,5,1,0,15,4,4,28,6,4,NA,NA,NA,NA,NA,NA,NA,NA
"86",2,NA,NA,9,49,47,9,1,0,26,7,2,26,9,4,NA,NA,NA,NA,NA,NA,NA,NA
"87",4,NA,NA,8,47,46,8,1,0,25,3,3,36,7,5,NA,NA,NA,NA,NA,NA,NA,NA
"88",4,NA,NA,29,48,0,5,0,0,26,5,3,28,7,5,NA,NA,NA,NA,NA,NA,NA,NA
"89",3,NA,NA,9,46,50,7,1,0,30,5,2,23,8,3,NA,NA,NA,NA,NA,NA,NA,NA
"90",3,NA,NA,8,54,0,6,1,0,27,9,2,25,10,4,NA,NA,NA,NA,NA,NA,NA,NA
"91",3,NA,NA,48,53,43,5,1,0,24,3,2,33,8,4,NA,NA,NA,NA,NA,NA,NA,NA
"92",3,NA,NA,5,54,0,6,1,0,26,1,2,30,10,7,NA,NA,NA,NA,NA,NA,NA,NA
"93",4,NA,NA,5,46,57,8,1,0,29,7,2,17,8,3,NA,NA,NA,NA,NA,NA,NA,NA
"94",4,NA,NA,5,48,45,5,0,0,22,6,2,29,14,5,NA,NA,NA,NA,NA,NA,NA,NA
"95",3,NA,NA,16,1,44,5,1,0,15,4,4,28,6,4,NA,NA,NA,NA,NA,NA,NA,NA
"96",2,NA,NA,9,49,47,9,1,0,26,7,2,26,9,4,NA,NA,NA,NA,NA,NA,NA,NA
"97",4,NA,NA,8,47,46,8,1,0,25,3,3,36,7,5,NA,NA,NA,NA,NA,NA,NA,NA
"98",4,NA,NA,29,48,0,5,0,0,26,5,3,28,7,5,NA,NA,NA,NA,NA,NA,NA,NA
"99",3,NA,NA,9,46,50,7,1,0,30,5,2,23,8,3,NA,NA,NA,NA,NA,NA,NA,NA
"100",3,NA,NA,8,54,0,6,1,0,27,9,2,25,10,4,NA,NA,NA,NA,NA,NA,NA,NA
