"","GLMM_tree","Bart","BA","BaBart_N*1","BaBart_N*5","BaBart_N*10","Smearing_N*1_palt=0","Smearing_N*5_palt=0","Smearing_N*10_palt=0","Smearing_N*1_palt=0.25","Smearing_N*5_palt=0.25","Smearing_N*10_palt=0.25","Smearing_N*1_palt=0.5","Smearing_N*5_palt=0.5","Smearing_N*10_palt=0.5","BaBart_N*5_Nw","BaBart_N*10_Nw","Smearing_N*5_palt=0_Nw","Smearing_N*10_palt=0_Nw","Smearing_N*5_palt=0.25_Nw","Smearing_N*10_palt=0.25_Nw","Smearing_N*5_palt=0.5_Nw","Smearing_N*10_palt=0.5_Nw"
"1",5,NA,NA,17,4,4,32,20,7,37,20,26,30,14,21,NA,NA,NA,NA,NA,NA,NA,NA
"2",7,NA,NA,24,4,4,38,14,15,39,19,20,27,21,20,NA,NA,NA,NA,NA,NA,NA,NA
"3",10,NA,NA,19,9,9,41,16,14,37,16,11,23,16,17,NA,NA,NA,NA,NA,NA,NA,NA
"4",7,NA,NA,18,4,9,31,14,10,29,20,15,28,18,19,NA,NA,NA,NA,NA,NA,NA,NA
"5",12,NA,NA,15,4,4,39,14,9,28,19,28,32,21,15,NA,NA,NA,NA,NA,NA,NA,NA
"6",5,NA,NA,23,4,9,30,21,7,25,13,21,34,16,17,NA,NA,NA,NA,NA,NA,NA,NA
"7",11,NA,NA,19,4,14,37,15,9,27,20,12,27,17,25,NA,NA,NA,NA,NA,NA,NA,NA
"8",11,NA,NA,22,4,4,28,15,10,28,19,20,38,15,14,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,NA,NA,15,4,4,29,16,11,31,20,14,26,23,13,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,NA,NA,24,4,4,40,21,13,38,16,21,22,16,15,NA,NA,NA,NA,NA,NA,NA,NA
"11",13,NA,NA,10,4,4,28,15,10,33,19,17,22,18,30,NA,NA,NA,NA,NA,NA,NA,NA
"12",7,NA,NA,15,4,4,28,11,12,34,16,15,25,21,14,NA,NA,NA,NA,NA,NA,NA,NA
"13",11,NA,NA,20,9,4,31,16,9,24,14,16,20,23,18,NA,NA,NA,NA,NA,NA,NA,NA
"14",8,NA,NA,19,4,4,30,12,13,35,22,17,32,27,13,NA,NA,NA,NA,NA,NA,NA,NA
"15",7,NA,NA,20,4,4,38,14,9,32,13,11,27,17,24,NA,NA,NA,NA,NA,NA,NA,NA
"16",12,NA,NA,15,4,4,35,11,11,31,19,19,24,21,22,NA,NA,NA,NA,NA,NA,NA,NA
"17",7,NA,NA,15,4,4,32,14,10,31,19,22,23,21,16,NA,NA,NA,NA,NA,NA,NA,NA
"18",8,NA,NA,22,14,9,33,14,9,32,24,28,30,23,20,NA,NA,NA,NA,NA,NA,NA,NA
"19",11,NA,NA,18,4,4,36,15,13,25,14,18,30,17,13,NA,NA,NA,NA,NA,NA,NA,NA
"20",7,NA,NA,20,4,4,32,14,12,26,17,19,26,25,21,NA,NA,NA,NA,NA,NA,NA,NA
"21",13,NA,NA,10,4,4,28,15,10,33,19,17,22,18,30,NA,NA,NA,NA,NA,NA,NA,NA
"22",7,NA,NA,15,4,4,28,11,12,34,16,15,25,21,14,NA,NA,NA,NA,NA,NA,NA,NA
"23",11,NA,NA,18,9,4,31,16,9,24,14,16,20,23,18,NA,NA,NA,NA,NA,NA,NA,NA
"24",8,NA,NA,19,4,4,30,12,13,35,22,17,32,27,13,NA,NA,NA,NA,NA,NA,NA,NA
"25",7,NA,NA,20,4,4,38,14,9,32,13,11,27,17,24,NA,NA,NA,NA,NA,NA,NA,NA
"26",12,NA,NA,15,4,4,35,11,11,30,19,19,24,21,22,NA,NA,NA,NA,NA,NA,NA,NA
