"","GLMM_tree","Bart","BA","BaBart_N*1","BaBart_N*5","BaBart_N*10","Smearing_N*1_palt=0","Smearing_N*5_palt=0","Smearing_N*10_palt=0","Smearing_N*1_palt=0.25","Smearing_N*5_palt=0.25","Smearing_N*10_palt=0.25","Smearing_N*1_palt=0.5","Smearing_N*5_palt=0.5","Smearing_N*10_palt=0.5","BaBart_N*5_Nw","BaBart_N*10_Nw","Smearing_N*5_palt=0_Nw","Smearing_N*10_palt=0_Nw","Smearing_N*5_palt=0.25_Nw","Smearing_N*10_palt=0.25_Nw","Smearing_N*5_palt=0.5_Nw","Smearing_N*10_palt=0.5_Nw"
"74",5,NA,NA,7,4,1,8,3,0,8,4,2,11,14,5,NA,NA,NA,NA,NA,NA,NA,NA
"75",6,NA,NA,4,3,1,9,1,1,10,8,6,8,11,9,NA,NA,NA,NA,NA,NA,NA,NA
"76",3,NA,NA,6,4,1,15,2,2,12,10,4,13,9,7,NA,NA,NA,NA,NA,NA,NA,NA
"77",6,NA,NA,9,6,2,8,2,4,12,7,4,15,7,5,NA,NA,NA,NA,NA,NA,NA,NA
"78",6,NA,NA,12,4,1,14,2,2,5,8,4,14,21,6,NA,NA,NA,NA,NA,NA,NA,NA
"79",6,NA,NA,10,4,2,16,4,3,2,9,5,13,5,13,NA,NA,NA,NA,NA,NA,NA,NA
"80",6,NA,NA,9,5,1,9,3,2,15,12,7,15,5,7,NA,NA,NA,NA,NA,NA,NA,NA
"81",3,NA,NA,5,4,2,10,4,3,8,8,8,10,4,2,NA,NA,NA,NA,NA,NA,NA,NA
"82",3,NA,NA,8,4,2,5,3,1,15,11,1,14,9,7,NA,NA,NA,NA,NA,NA,NA,NA
"83",7,NA,NA,6,6,4,11,4,1,15,9,6,14,11,11,NA,NA,NA,NA,NA,NA,NA,NA
"84",5,NA,NA,7,4,1,8,3,0,8,4,2,11,14,5,NA,NA,NA,NA,NA,NA,NA,NA
"85",6,NA,NA,4,3,1,9,1,1,10,8,6,8,11,9,NA,NA,NA,NA,NA,NA,NA,NA
"86",3,NA,NA,6,4,1,15,2,2,12,10,4,13,9,7,NA,NA,NA,NA,NA,NA,NA,NA
"87",6,NA,NA,9,6,2,8,2,4,12,7,4,15,7,5,NA,NA,NA,NA,NA,NA,NA,NA
"88",6,NA,NA,12,4,1,14,2,2,5,8,4,14,21,6,NA,NA,NA,NA,NA,NA,NA,NA
"89",6,NA,NA,10,4,2,16,4,3,2,9,5,13,5,13,NA,NA,NA,NA,NA,NA,NA,NA
"90",6,NA,NA,9,5,1,9,3,2,15,12,7,15,5,7,NA,NA,NA,NA,NA,NA,NA,NA
"91",3,NA,NA,5,4,2,10,4,3,8,8,8,10,4,2,NA,NA,NA,NA,NA,NA,NA,NA
"92",3,NA,NA,8,4,2,5,3,1,15,11,1,14,9,7,NA,NA,NA,NA,NA,NA,NA,NA
"93",7,NA,NA,6,6,4,11,4,1,15,9,6,14,11,11,NA,NA,NA,NA,NA,NA,NA,NA
"94",5,NA,NA,7,4,1,8,3,0,8,4,2,11,14,5,NA,NA,NA,NA,NA,NA,NA,NA
"95",6,NA,NA,4,3,1,9,1,1,10,8,6,8,11,9,NA,NA,NA,NA,NA,NA,NA,NA
"96",3,NA,NA,6,4,1,15,2,2,12,10,4,13,9,7,NA,NA,NA,NA,NA,NA,NA,NA
"97",6,NA,NA,9,6,2,8,2,4,12,7,4,15,7,5,NA,NA,NA,NA,NA,NA,NA,NA
"98",6,NA,NA,12,4,1,14,2,2,5,8,4,14,21,6,NA,NA,NA,NA,NA,NA,NA,NA
"99",6,NA,NA,10,4,2,16,4,3,2,9,5,13,5,13,NA,NA,NA,NA,NA,NA,NA,NA
"100",6,NA,NA,9,5,1,9,3,2,15,12,7,15,5,7,NA,NA,NA,NA,NA,NA,NA,NA
