"","GLMM_tree","Bart","BA","BaBart_N*1","BaBart_N*5","BaBart_N*10","Smearing_N*1_palt=0","Smearing_N*5_palt=0","Smearing_N*10_palt=0","Smearing_N*1_palt=0.25","Smearing_N*5_palt=0.25","Smearing_N*10_palt=0.25","Smearing_N*1_palt=0.5","Smearing_N*5_palt=0.5","Smearing_N*10_palt=0.5","BaBart_N*5_Nw","BaBart_N*10_Nw","Smearing_N*5_palt=0_Nw","Smearing_N*10_palt=0_Nw","Smearing_N*5_palt=0.25_Nw","Smearing_N*10_palt=0.25_Nw","Smearing_N*5_palt=0.5_Nw","Smearing_N*10_palt=0.5_Nw"
"89",11,NA,NA,27,7,3,35,17,8,30,25,22,23,19,14,54,79,0,0,0,0,0,0
"90",9,NA,NA,27,3,7,34,16,15,35,24,19,24,13,16,57,82,0,0,0,0,0,0
"91",12,NA,NA,29,5,3,31,13,9,39,25,21,26,20,14,54,83,0,0,0,0,0,0
"92",10,NA,NA,26,3,6,40,16,8,32,21,15,29,18,17,66,78,0,0,0,0,0,0
"93",8,NA,NA,19,6,3,39,10,9,35,12,19,30,19,14,70,79,0,0,0,0,0,0
"94",10,NA,NA,26,7,7,34,13,5,33,20,15,32,21,23,78,76,0,0,0,0,0,0
"95",11,NA,NA,25,7,3,31,21,10,40,20,19,25,16,24,53,76,0,0,0,0,0,0
"96",11,NA,NA,26,6,11,38,15,12,30,19,15,33,20,13,41,74,0,0,0,0,0,0
"97",8,NA,NA,26,10,7,40,20,12,31,20,13,29,22,16,60,59,0,0,0,0,0,0
"98",8,NA,NA,27,11,3,37,16,11,33,21,17,26,21,11,56,77,0,0,0,0,0,0
"99",11,NA,NA,27,7,3,35,17,8,30,25,22,23,19,14,54,79,0,0,0,0,0,0
"100",9,NA,NA,27,3,7,34,16,15,35,24,19,24,13,16,57,82,0,0,0,0,0,0
